alpha,dom_ratio,n,b,seed,kappa,pivot_floor,err_nopivot,err_pivoted,penalty
2.0,1.594564669324991,16,2,0,4.848191660221691,0.22632416170508907,6.22967510932956e-08,6.475988220730909e-08,0.9619651699469044
2.0,1.5646485470036116,16,2,1,7.1628699739901585,0.14577342798396675,5.5904440905534115e-08,6.406153573051475e-08,0.8726678227119815
2.0,1.6324967092414462,16,2,2,6.199316772931968,0.1643814881507194,6.330132709967995e-08,6.09516023756558e-08,1.0385506636813642
2.0,1.5222167716592976,16,2,3,6.593665892194018,0.15933433657952584,6.049576838680945e-08,6.388114877425665e-08,0.9470050170918111
2.0,1.64469410698194,16,2,4,4.467882942350853,0.23472863726823728,6.567575919802866e-08,5.982127216041108e-08,1.0978663078564885
1.5,1.0960026183897278,16,2,0,5.746604967881386,0.20548799028762593,6.609583138205328e-08,5.722947971684743e-08,1.1549263021273937
1.5,1.0675258473316374,16,2,1,8.373199752258133,0.1292474502466321,6.005523710303813e-08,8.056553240967894e-08,0.7454209673394183
1.5,1.1336575917363039,16,2,2,6.817436753213332,0.14549520795306245,8.511681917740889e-08,7.091493677892507e-08,1.200266446584557
1.5,1.0280896292227657,16,2,3,8.199286417015239,0.13486980567622117,7.603440605164375e-08,6.796929619432259e-08,1.1186581340236805
1.5,1.144934545909897,16,2,4,4.939379602603554,0.21011456600404532,5.8118524064700016e-08,7.178068685991396e-08,0.809667984622705
1.0,0.5990808206773158,16,2,0,8.661008388862447,0.1702081237383201,6.70679530110533e-08,7.829519876824766e-08,0.8566036496001905
1.0,0.5739851382329206,16,2,1,15.020676282829207,0.10016636099162972,8.412373204044634e-08,7.63629583773695e-08,1.101630081232903
1.0,0.6361524660596164,16,2,2,9.221881389098353,0.11080168190207643,7.76516407117608e-08,7.164079481855289e-08,1.0839025573129357
1.0,0.5428721462421274,16,2,3,14.668697647295634,0.09410684265809377,1.0010932431019294e-07,9.214740731618507e-08,1.0864041347000484
1.0,0.6454509462710379,16,2,4,6.720965763159349,0.16490496401408902,7.22283430284085e-08,8.384669074760122e-08,0.8614334374368244
0.7,0.3034702688980904,16,2,0,18.024168306222133,0.09993365330744712,1.1315228711322681e-07,1.6178164324973066e-07,0.6994136345775755
0.7,0.2839049727290747,16,2,1,345.0534457295107,0.005337898776816801,5.0927499169868175e-05,2.751504153745677e-07,185.08966850200667
0.7,0.33973620245637165,16,2,2,43.09054380501589,0.07366258820613714,8.804823112012329e-08,2.4471803274619425e-07,0.35979461804288543
0.7,0.2702424767386956,16,2,3,1345.4555581679226,0.04048011036695801,8.107044886894264e-06,3.410287279092399e-06,2.3772322456810273
0.7,0.34619410848494153,16,2,4,14.637445305303487,0.1177618814180689,1.2461420977706702e-07,7.832052616844462e-08,1.5910798340279046
0.5,0.11016501903879164,16,2,0,126.87189471207766,0.04091032710626716,3.733288134873117e-07,3.1708909911546727e-07,1.1773624969408516
0.5,0.10054592054301817,16,2,1,235.5466715028631,0.0165033430332331,8.681699879763458e-07,1.62628862560194e-07,5.338351226892515
0.5,0.14527144979029885,16,2,2,39.37989479944029,0.036783819783370024,1.8769300464740634e-07,2.4238708355910405e-07,0.7743523371435713
0.5,0.08378913206080231,16,2,3,56.46272422353248,0.018763741284799237,7.825975500812749e-07,1.8490897041845037e-07,4.2323395577307625
0.5,0.14735325619704054,16,2,4,59.8368838787074,0.05511433544549374,2.2981394923041083e-06,2.985779374949064e-07,7.696950121585301
0.3,0.026852371134955904,16,2,0,543.4330390024174,0.030646944406966893,5.299127000716572e-06,1.6606646710841679e-06,3.19096750414822
0.3,0.0005845744974523054,16,2,1,393.0336814092663,0.00019547820218336357,0.0010671660870478666,2.5674421031899816e-06,415.6534185218587
0.3,0.014937025086255336,16,2,2,71.10199918867092,0.011016915658326402,2.747775502836884e-06,3.353245021812372e-07,8.194377341837543
0.3,0.005969238775373494,16,2,3,89.33539947345638,0.007610228716883187,5.553896324520859e-06,3.774259138010613e-07,14.715196072753715
0.3,0.021909857892411472,16,2,4,86.23121391075122,0.00814371769321107,1.0290619258512773e-06,2.523513475183644e-07,4.077893524132615
0.2,0.0154264670399348,16,2,0,626.1550820218587,0.011668180572251228,0.0002739737031181109,2.6124452696095405e-06,104.872514002584
0.2,0.02905178982182947,16,2,1,117.87580910388772,0.014600876081014092,1.6222065057602776e-06,5.523600918738653e-07,2.936864066802853
0.2,0.011690016454937226,16,2,2,124.65319816425097,0.01124912998973673,1.985354874260865e-06,7.80040024862974e-07,2.5451961578633395
0.2,0.005049328117279737,16,2,3,708.4496906879829,0.01350251074118031,1.0691677526906147e-05,5.102819808829429e-06,2.0952488873713113
0.2,0.001470209399083226,16,2,4,358.33042550647764,0.030869758744023208,4.278271422691161e-06,2.9066279929378854e-06,1.4719019541151814
0.1,0.0007409911825865713,16,2,0,70.31506677356735,0.00762768683445433,4.760438072932869e-06,5.494232805337889e-07,8.664427303313202
0.1,0.008096798646900244,16,2,1,75.54529895161203,0.008586039954461427,3.6353198905318635e-06,4.7601523454528674e-07,7.636982236512872
0.1,0.008603918074119471,16,2,2,160.93137147281706,0.0017614570430369509,1.9519714030089182e-05,1.8471269944986804e-06,10.56760801408077
0.1,0.0013743486576066346,16,2,3,207.03764808944157,0.014465413805668079,9.697375230484593e-06,6.276036176528811e-07,15.451432970942621
0.1,0.005096212108079963,16,2,4,122.01801529460676,0.01207082903731583,2.1399968470897448e-06,7.925109354804588e-07,2.700274218667247
