model,test_rows,test_cols,diameter,mse_median,mse_lo,mse_hi,n_params
gabp,6,6,10,1.338063447219091e-05,5.275569949515105e-06,0.00020928495406302502,65
gnn,6,6,10,0.008167764817799336,0.007432540653692742,0.010562369893445377,22337
transformer,6,6,10,0.014762922129511025,0.01458177330791729,0.015994640017899606,18305
baseline,6,6,10,0.02464377401255165,0.0245674317729048,0.02687997359990441,
gabp,8,8,14,7.678825687950683e-06,3.2539876684121224e-06,0.0001163967405938652,65
gnn,8,8,14,0.05328831068545677,0.045546088127176115,0.05846044652549848,22337
transformer,8,8,14,0.07084610255827474,0.06469613423706509,0.0769099402978186,18305
baseline,8,8,14,0.08069468649867632,0.07856128968942923,0.08120641066548441,
gabp,10,10,18,4.740114295953307e-06,2.456572732216532e-06,7.870294635664914e-05,65
gnn,10,10,18,0.1064397849747386,0.09711443016921638,0.11401924508845857,22337
transformer,10,10,18,0.13509474678532862,0.12398317191593655,0.13813482125300822,18305
baseline,10,10,18,0.14367851817034033,0.14228974545859188,0.1436814048111219,
