seed,L,b,device,num_threads,time_median_s,time_iqr_s,dense_inv_time_s,dense_chol_time_s,kappa,forward_normwise,forward_componentwise,forward_worst_block,factorization_residual,selected_inverse_residual,peak_rss_bytes_noisy,problem,precision_name
0,31,2,cpu,1,0.0056133999896701425,0.00013385001511778682,9.16970003163442e-05,8.90375001472421e-05,55.627993575005014,5.932769965729743e-16,1.8378282117261046e-14,1.9216872284805375e-15,7.105427357601002e-15,1.3322676295501878e-15,0,tree,fp64
1,31,2,cpu,1,0.005601150012807921,0.00011924996215384454,9.020500001497567e-05,8.9082500198856e-05,34.17381410731491,2.9755267180817415e-16,4.060555420942112e-14,9.630085807848745e-16,3.552713678800501e-15,6.661338147750939e-16,0,tree,fp64
0,63,2,cpu,1,0.011487499985378236,0.0002215999411419034,0.00034740000264719126,0.0004028199997264892,65.11572535703979,4.964014284812025e-16,2.899196321630133e-13,1.5201788433072033e-15,1.4210854715202004e-14,8.881784197001252e-16,0,tree,fp64
1,63,2,cpu,1,0.01152389997150749,0.00034899997990578413,0.0003424900001846254,0.0003876700007822365,68.55737787533465,4.3618985827723173e-16,5.686643798090405e-14,1.2105795332114539e-15,7.105427357601002e-15,1.3322676295501878e-15,0,tree,fp64
0,127,2,cpu,1,0.02307769999606535,0.0003153000143356621,,,68.5618240813556,5.986290519361423e-16,9.932512419939591e-14,1.93874462441172e-15,7.105427357601002e-15,1.7763568394002505e-15,0,tree,fp64
1,127,2,cpu,1,0.02310389996273443,9.569997200742364e-05,,,52.23242849863098,5.401740690406362e-16,7.256499471683602e-14,2.104870976814715e-15,7.105427357601002e-15,9.43689570931383e-16,0,tree,fp64
0,255,2,cpu,1,0.04598900000564754,0.0010633000056259334,,,67.65219790611074,6.734581987500112e-16,1.1147983080364144e-12,3.794844723271409e-15,7.105427357601002e-15,1.3322676295501878e-15,0,tree,fp64
1,255,2,cpu,1,0.046129200025461614,0.00033909999183379114,,,56.77091263182567,6.432536684161501e-16,2.6150733338515596e-13,2.427433257374437e-15,7.105427357601002e-15,1.3322676295501878e-15,0,tree,fp64
0,511,2,cpu,1,0.09426864999113604,0.00229124998440966,,,66.76902527173306,1.1987287325897346e-15,8.308656820775124e-12,6.527913864553122e-15,7.105427357601002e-15,1.3322676295501878e-15,0,tree,fp64
1,511,2,cpu,1,0.09141774999443442,0.00044284999603405595,,,70.37002813049348,1.0322841964435229e-15,4.794488353297477e-13,5.101845237972825e-15,1.4210854715202004e-14,1.7763568394002505e-15,0,tree,fp64
0,31,2,cpu,1,0.005641199997626245,0.00018737501522991806,9.956999565474689e-05,8.919899992179125e-05,55.627993575005014,1.8093579176830794e-07,3.582823894280388e-06,5.828722582225406e-07,7.105427357601002e-15,5.440840527004553e-07,0,tree,fp32
1,31,2,cpu,1,0.005737100000260398,0.00022032501874491572,0.00010024750023148954,8.94289999268949e-05,34.17381410731491,1.4581983344692004e-07,2.8309758976015664e-06,3.6710660840652524e-07,3.552713678800501e-15,3.7878673664337725e-07,0,tree,fp32
0,63,2,cpu,1,0.011526499991305172,0.00021029997151345015,0.0003272000001743436,0.00032629999914206563,65.11572535703979,1.803349868289799e-07,0.0012676991417247532,5.391467271560171e-07,1.4210854715202004e-14,4.1147781959516294e-07,0,tree,fp32
1,63,2,cpu,1,0.011779399996157736,0.00034170004073530436,0.00033184000058099626,0.000327729998389259,68.55737787533465,1.6442492596304481e-07,2.352855535991159e-05,5.012732369785982e-07,7.105427357601002e-15,5.501502533533653e-07,0,tree,fp32
0,127,2,cpu,1,0.023518299974966794,0.00015119998715817928,,,68.5618240813556,1.6767605977552386e-07,3.070180317804071e-05,7.867837522714184e-07,7.105427357601002e-15,7.36347618435218e-07,0,tree,fp32
1,127,2,cpu,1,0.02331140002934262,2.1300045773386955e-05,,,52.23242849863098,1.4997710156114658e-07,1.4592960035685513e-05,8.060436012086113e-07,7.105427357601002e-15,3.4362242458396697e-07,0,tree,fp32
0,255,2,cpu,1,0.047182600013911724,0.0004349499649833888,,,67.65219790611074,1.7303783389115632e-07,0.0002895474136392656,1.009477395161062e-06,7.105427357601002e-15,5.934008315833239e-07,0,tree,fp32
1,255,2,cpu,1,0.048254899971652776,0.0006161999772302806,,,56.77091263182567,1.629054520667459e-07,0.00011713495493622964,7.222514231946737e-07,7.105427357601002e-15,5.387631643039015e-07,0,tree,fp32
0,511,2,cpu,1,0.09441665004123934,0.0003792500065173954,,,66.76902527173306,1.7170925941497873e-07,0.0010613255613117435,9.002436109564721e-07,7.105427357601002e-15,8.207430095552581e-07,0,tree,fp32
1,511,2,cpu,1,0.09498804999748245,0.0003632499719969928,,,70.37002813049348,1.7078513184626734e-07,4.095397896805356e-05,9.265717410020367e-07,1.4210854715202004e-14,1.0457349817194483e-06,0,tree,fp32
0,31,2,cpu,1,0.005721049994463101,0.00013559999933931977,8.820199989713727e-05,8.637749968329445e-05,55.627993575005014,0.004689167453643363,0.4138144544300667,0.033501796329908407,7.105427357601002e-15,0.024367373516857693,0,tree,bf16
1,31,2,cpu,1,0.005800099985208362,0.0002479499817127362,8.981099992524832e-05,8.662450010888279e-05,34.17381410731491,0.004569259452279491,0.15120983882072186,0.016612026053703,3.552713678800501e-15,0.01327969328336609,0,tree,bf16
0,63,2,cpu,1,0.011752999969758093,0.0003424000460654497,0.00034104000078514216,0.0003958399989642203,65.11572535703979,0.003952756806727985,15.367889379661491,0.014655269562286419,1.4210854715202004e-14,0.0102714001925035,0,tree,bf16
1,63,2,cpu,1,0.011927299958188087,0.0004744000034406781,0.00033437000238336625,0.0003781099978368729,68.55737787533465,0.004735223503191927,0.9313571306873052,0.015748229775794195,7.105427357601002e-15,0.021195355124744797,0,tree,bf16
0,127,2,cpu,1,0.02337970002554357,0.0001556000206619501,,,68.5618240813556,0.00631908056640663,1.0120555531999222,0.04685366181562002,7.105427357601002e-15,0.03246632138263861,0,tree,bf16
1,127,2,cpu,1,0.023725799983367324,0.0005374000174924731,,,52.23242849863098,0.0055143582457686975,0.5410880162749024,0.02102160592042243,7.105427357601002e-15,0.0295957796538992,0,tree,bf16
0,255,2,cpu,1,0.04773280001245439,0.0008024999988265336,,,67.65219790611074,0.005394299166680139,5.781191506983052,0.035805341147978786,7.105427357601002e-15,0.047616759097605654,0,tree,bf16
1,255,2,cpu,1,0.047412200015969574,0.0008553000225219876,,,56.77091263182567,0.004824417348968313,4.11262303133096,0.0223079665814194,7.105427357601002e-15,0.02464239749474882,0,tree,bf16
0,511,2,cpu,1,0.09480104999965988,0.0004312499950174242,,,66.76902527173306,0.005380602332128304,190.16062757615907,0.029042146701252342,7.105427357601002e-15,0.02936103881229024,0,tree,bf16
1,511,2,cpu,1,0.09385514998575673,0.000617949990555644,,,70.37002813049348,0.005561348809219435,2.210143441654733,0.07252392967776956,1.4210854715202004e-14,0.045984931489414294,0,tree,bf16
